Judul,Penerbit,Tahun Terbit,Tempat Terbit,Pengarang,Tipe Koleksi
problema seks dan solusi for teen,erlangga,1985,bandung,clup archie w,kebidanan
program rencana salin dan cegah komplikasi pk,politeknik harapan bersama tegal,2018,tegal,much sobri sungkar m komroni darpono stpradana ardhitya wijaya,kebidanan
promosi sehat dalam layan bidan,graha ilmu,2009,yogyakarta,wicaksono handy,kebidanan
promosi sehat untuk bidan,pramatic bookshelf,2012,usa,riley mike,kebidanan
promosi sehat untuk mahasiswa bidan,egc,2009,jakarta,maulana heri d j,kebidanan
psikologi ibu dan anak untuk bidan,politeknik harapan bersama tegal,2017,tegal,subandi afriyamaylane boni abdillah mtmuhammad nana a s pd,kebidanan
psikologi bidan analisis perilaku wanita untuk sehat,lokomedia,2015,yogyakarta,alatas husein,kebidanan
psikologi bidan analisis perilaku wanita untuk sehat,lokomedia,2014,yogyakarta,sharive,kebidanan
rencana asuh awat,andi,2009,yogyakarta,nugroho adi,kebidanan
resep jus bagi ibu hamil dan susu,bumi aksara,2004,jakarta,daryanto,kebidanan
resusitasi neonatu,pt . sygma media inovasi,2021,bandung,dr zaidur akbar,kebidanan
rujuk pediatri sehat anak,politeknik harapan bersama tegal,2017,tegal,much sobri sungkar m komannisa muthia yana ariyanti s komdarmawan dicky,kebidanan
schaum s outline s biolog,mastaka publishing,2017,yogyakarta,barkiah kiki,kebidanan
self help emergency pandu tolong pertama pada celaka hari,pustaka pesantren,2012,yogyakarta,idahram syaikh,kebidanan
senam hamil,bale siasat,2010,yogyakarta,sina faisal i,kebidanan
senam hamil senam nifas dan terapi musik,ist akprind yogyakarta,2014,yogyakarta,ist akprind yogyakarta,kebidanan
tiap wanita pandu lengkap tentang sehat bidan kandung,elex media komputindo,2007,jakarta,permana budi,kebidanan
sinopsis obstetri,politeknik harapan bersama tegal,2013,tegal,setiawan alif aplis,kebidanan
sinopsis obstetri edisi jilid obstetri fisiologi dan obstetri patolog,politeknik harapan bersama tegal,2015,tegal,zamzami ismail,kebidanan
sinopsis obstetri jilid,politeknik harapan bersama tegal,2013,tegal,anwar tohid,kebidanan
sinopsis obstetri obstetri fisiologi obstetri patologi jilid,politeknik harapan bersama tegal,2016,tegal,suprayogi caturropiiyono ahmadmadzani arifmuzaeni achmad,kebidanan
sistem imun imunisasi sakit imun,erlangga,2015,jakarta,ismail munawaryustika ahmad eranisantosa dwi budi,kebidanan
soap untuk urolog,politeknik harapan bersama tegal,2015,tegal,tobiin moh,kebidanan
sosial budaya dasar untuk mahasiswa bidan,erlangga,2003,jakarta,sommerville ian,kebidanan
strategi pintar uji kompetensi bidan,politeknik harapan bersama tegal,2020,tegal,hajar adhayanti s e mm pardrajat edi prasetyo s em m par,kebidanan
tanam untuk pelancar asi di sekitar kita lengkap masalah putar asi dan solusi,lkis,2017,jakarta,saifuddin,kebidanan
teori ukur nyeri nyeri salin,pustaka pena,2006,yogyakarta,santoso djokosetianto rahmadi heru,kebidanan
the psychology of pregnancy and childbirth,qanita,2013,bandung,hwang sung joo,kebidanan
toksikologi dasar asas organ sasar dan penilain risiko,elex media komputindo,2005,jakarta,herlambang ferry,kebidanan
toksikologi mekanisme terapi antidotum dan nilai resiko,cemerlang publising,2008,yogyakarta,sutawijaya risang bagus,kebidanan
tumbuh kembang terapi main pada anak,elex media komputindo,2001,jakarta,callahan evan,kebidanan
tumbuh kembang anak,politeknik harapan bersama tegal,2018,tegal,arfan haqiqi sulasmoro m komramadhani muhammad farros,kebidanan
tumbuh kembang anak dan remaja,politeknik harapan bersama tegal,2015,tegal,rahmono dan agung,kebidanan
uji kompetensi bidan indonesia,politeknik harapan bersama tegal,2021,tegal,nur aidi aryanto m tahmad faoji m tsamsudin,kebidanan
ukbi uji kompetensi bidan indonesia soal vignette dan bahas ter upd,politeknik harapan bersama tegal,2018,tegal,rizki febriyanti m farm aptmeliyana perwita sari m farm aptwidiastuti novita dwi,kebidanan
untai materi suluh kia sehat ibu dan anak,asa mandiri,2004,jakarta,indonesia,kebidanan
wanita cipta ajaib beberapa ganggu sistem tubuh dan awat,elex media komputindo,2004,jakarta,kusumo ario suryo,kebidanan
buku ajar anatomi fisiologi kardiovaskul,jnpkkr-pogi,2002,jakarta,saifuddin abdul bari,kesehatan
buku pintar asuh awat sehat jiwa,andi,2017,yogyakarta,kadir abdul,kesehatan
awat medikal bedah sistem kardiovaskular,politeknik harapan bersama tegal,2018,tegal,belaviatisari prabandari s farmmm aptwilda amananti s pd m si,kesehatan
awat medikal bedah sistem muskuloskelet,politeknik harapan bersama tegal,2018,tegal,rosaria ika pratiwi m sc aptadila prabasiwi skm m kmyuliasih titiek,kesehatan
psikologi awat,lokomedia,2012,yogyakarta,saputra agus,kesehatan
tip hidup mandiri pasca strok,pt bhuana ilmu popiuler,2005,jakarta,hutton cleo,kesehatan
strategi derita diabetes melitus usia panjang,kanisius,2010,yogyakarta,sutedjo a y,kesehatan
a soul of healing with communication motiv,wong publishing,2016,jakarta,wong master,kesehatan
ajaib terapi herbal tumpas sakit kolesterol lebih aman mudah murah khasiat,dunia sehat,2012,jakarta,amir supriyadi,kesehatan
analisis aspek sehat bahan tambah pangan edisi dua,politeknik harapan bersama tegal,2020,tegal,sunandar se m si ak cakrisdiyawati se m aksaputro ranedi,kesehatan
anatomi klinis dasar penting untuk orang awam,pt . prima info sarana media,2014,jakarta,mohamad imelda,kesehatan
aneka resep jus buah dan sayur untuk cegah dan obat kank,lebah,2021,jakarta,veronika kusuma,kesehatan
aplikasi manajemen olah obat dan makan,medical book,2009,yogyakarta,anshari muhammad,kesehatan
asupan makan dan diet,graha ilmu,2009,yogyakarta,purba marisi p,kesehatan
atlas of managing information in hospit,hipokrates,1997,jakarta,hart tonyshears paul,kesehatan
audit lingkung rumah sakit,salemba empat,2011,jakarta,rai i gusti agung,kesehatan
avokad buah eksotis untuk sehat jantung,politeknik harapan bersama tegal,2020,tegal,rais s pd m komalvionita chindyfaizal beny cindypamungkas dimasrivaldo mersis brillianto s pd m eng,kesehatan
awas kolesterol pandu cerdas libas kolesterol,cv . andi offest,2013,yogyakarta,nurcahyo sidik,kesehatan
awas keropos tulang,maximus,2008,yogyakarta,hardjono,kesehatan
sahabat dengan diabetes tipe,institut harkat negeri,2017,jakarta,said sudirman,kesehatan
besar sampel dan cara ambil sampel dalam teliti dokter dan sehat,penebar plus,2010,jakarta,fox charleskilvert anne,kesehatan
biostatistik untuk dokter sehat,mcgraw hill,2011,new york,degrazia davidmappes thomas a brand-ballard jeffrey,kesehatan
biostatistika dasar dasar dasar statistik dalam sehat,buku kedokteran egc,2009,jakarta,chandra budiman,kesehatan
biostatistika untuk dokter dan sehat masyarakat,fitramaya,2011,yogyakarta,machfoedircham,kesehatan
buku ajar biostatistika aplikasi pada teliti sehat,egc,2013,jakarta,kriebs jan mhackley barbararousseau mary ellen,kesehatan
buku ajar ilmu gizi obesitas diabetes mellitus dislipidema konsep teori dan tangan aplikatif,nusamedia,2018,jakarta,abdul halim barkatullah,kesehatan
buku ajar ilmu sehat masyarakat,egc,2009,jakarta,arisman,kesehatan
buku ajar patofisiologi proses sakit tanda dan gejala penatalaksanaan efek obat ilustrasi warna,salemba medika,2009,jakarta,satrianegara m faissaleha sitti,kesehatan
buku ajar sosiologi dan antropologi sehat,egc,2004,jakarta,johnson ruthtaylor wendy,kesehatan
buku lengkap kanker payudara,egc,2015,jakarta,klein susanmiller suellenthomson fiona,kesehatan
buku pandu lengkap ilmu sakit dalam,"biro kerja sama dan komunikasi publik "" "" kemenitrian riset "" "" teknologi "" "" dan pendidikan tinggi",2016,jakarta,nanang t puspitomarcella elwina s,kesehatan
buku saku kenal sakit lalu periksa laboratorium,salemba medika,2012,jakarta,helmi zairin noor,kesehatan
buku saku metodologi teliti untuk mahasiswa diploma sehat,egc,2011,jakarta,cadwell karinturner-maffei cindy,kesehatan
cara ampuh turun kolesterol dalam jab,shira media,2017,jakarta,eva nurdinawati,kesehatan
cara mudah ajar fisiologi dokt,politeknik harapan bersama tegal,2016,tegal,septyawan anggy,kesehatan
catat kuliah butuh dasar manusia kdm,andi,2008,yogyakarta,setiawan agus,kesehatan
cermat susun kuisoner teliti ilmu awat,perpustakaan nasional republik indonesia,2018,jakarta,buduroh mamlahatun,kesehatan
dasar komunikasi sehat,graha ilmu,2012,yogyakarta,sugiyarto kristian h,kesehatan
dasar metodologi teliti dokter sehat,erlangga,2008,jakarta,brealey richard a myers stewart c marcus alan j,kesehatan
dasar metodologi teliti klinis ed,andi,2014,yogyakarta,suwartono,kesehatan
decision support system bagai dukung ambil putus di rumah sakit,noura books,2018,jakarta,said sudirman,kesehatan
desain dan ukur sampel untuk teliti kuantitatif dan kualitatif di bidang sehat,politeknik harapan bersama tegal,2015,tegal,aji agung nugroho,kesehatan
desain dan ukur sample untuk teliti kuantitatif dan kualitatif di bidang sehat,politeknik harapan bersama tegal,2020,tegal,very kurnia bakti m komsilviani shanti eka,kesehatan
diabetes mellitus dan penatalaksanaan awat,politeknik harapan bersama tegal,2017,tegal,kurniawan wahyuismoyo ahmad riyadiyun setiawan m kom,kesehatan
diagnosis klinik awal dari masalah tuju diagnosi,politeknik harapan bersama tegal,2016,tegal,alfarisi m salman,kesehatan
diet makan terap,buku kedokteran,2008,jakarta,sunarto,kesehatan
fisiologi jantung,buku kedokteran,2010,jakarta,bersasella diana,kesehatan
general english materials for health stud,politeknik harapan bersama tegal,2016,tegal,sinta sela putrikurniawan laurentius krishaarbiansyah nanda cahyaristanti yunita,kesehatan
gizi dalam daur hidup,notebook,2014,yogyakarta,puspita ristiana yani,kesehatan
gizi dan sehat,egc,2009,jakarta,arisman,kesehatan
gizi sehat masyarakat,trans info media,2010,jakarta,sibagariang eva ellya,kesehatan
heart failur,politeknik harapan bersama tegal,2018,tegal,m teguh prihandono m komfirdaus muhammad maulanawijayanti mega,kesehatan
hepatitis b,politeknik harapan bersama tegal,2020,tegal,juhrotun nisa s st mphnora rahmanindar s sit m keb,kesehatan
higiene industri,beta offset,2013,yogyakarta,triatmodjo bambang,kesehatan
hipnopunktur kombinasi hipnosis akupunktur,ar-ruzz media,2006,yogyakarta,widoyoko aziz c,kesehatan
hospital convers,media pressindo,2013,yogyakarta,triana ana,kesehatan
human genetics concepts and appl,mitra wacana media,2015,jakarta,mulyati pawennei,kesehatan
human physiolog,nusamedia,2018,jakarta,philippe nonet,kesehatan
i love jantung sehat,mcgraw hill,2011,new york,fox stuart ira,kesehatan
ilmu gizi teori aplikasi,pt refika aditama,2005,bandung,soelaeman m munandar,kesehatan
ilmu gizi korelasi gizi sehat dan produktivitas kerja,nusamedia,2019,jakarta,raihani wahdah,kesehatan
ilmu gizi untuk awat gizi sehat,teknosain,2017,jakarta,irza sukmana,kesehatan
ilmu gizi untuk mahasiswa dan profesi,egc,2016,jakarta,supariasa i dewa nyomanhardinsyah,kesehatan
ilmu sehat masyarakat,egc,1999,jakarta,nelson waldo ebehrman richard ekliegman robertarvin ann m,kesehatan
ilmu sehat masyarakat teori dan aplikasi,egc,2000,jakarta,behrmankliegmanarvinnelson,kesehatan
ilmu sehat masyarakat prinsip dasar,egc,2000,jakarta,nelson waldo e,kesehatan
ilmu sakit jantung,pt remaja rosdakarya,2007,bandung,mulyana deddy,kesehatan
ilmu sakit paru,ugm,2000,yogyakarta,anief moh,kesehatan
imunologi dan virolog,politeknik harapan bersama tegal,2021,tegal,yerry febrian sabanise m komida afriliana st m kommuhammad wahyu pratama,kesehatan
inquiry into lif,politeknik harapan bersama tegal,2016,tegal,zamawimauluna arifpramudya bayu,kesehatan
international statistical classification of diseases and related health problem,wiley,2014,asia,shapiro alan c moles peter,kesehatan
international statistik clasification of diseases and related healthh problems vol,graha ilmu,2010,yogyakarta,purba marisi p,kesehatan
interpretasi akurat bunyi jantung,maksikom,2008,palembang,kurniawan rulianto,kesehatan
intisari buku ajar diagnostik fisik,mcgraw hill,2011,new york,wilmot williamhocker joyce,kesehatan
jamin mutu layan sehat,gaya favorit press,2009,jakarta,marulina pane dh,kesehatan
jaripunktur obat dahsyat mudah praktis ampuh dan cepat sembuh sakit,informatika,2010,bandung,sugeng winarno,kesehatan
jauh sakit dengan makan mentah,salemba empat,2011,jakarta,elder randal jbeasley mark sarens alvin a,kesehatan
kamus istilah dokt,kompas,2009,jakarta,sandjaja atmarita,kesehatan
kamus dokt,angkasa,2014,bandung,soenarno adi,kesehatan
kamus saku dokter dorland,riugha edu pustaka,2021,jakarta,edyar kristyanto,kesehatan
kapita selekta dokter jilid,ugm,2007,yogyakarta,kristina susi ari,kesehatan
karbohidrat pangan dan sehat,politektik harapan bersama tegal,2012,tegal,laela,kesehatan
butuh dasar manusia oksigenasi,fitramaya,2009,yogyakarta,setiyawati nanikmeilani nikenestiwidani dwianasumarah,kesehatan
cantik profesional tenaga sehat,egc,2011,jakarta,handajani sutjiati dwi,kesehatan
darurat medik,kencana,2011,jakarta,sudirman i wayan,kesehatan
sehat gizi,politeknik harapan bersama tegal,2020,tegal,ida afriliana s t m komilham fery choirul,kesehatan
sehat dan selamat lingkung kerja,politeknik harapan bersama tegal,2019,tegal,very kurnia bakti m komkisnanto dimasmilah m ni'am,kesehatan
sehat masyarakat di indonesia konsep aplikasi dan tantang,genta smart publisher,2016,solo,gantamitrekashokha,kesehatan
sehat masyarakat ilmu dan seni,rineka cipta,2009,jakarta,santoso soegengranti anne lies,kesehatan
sehat masyarakat suatu antar,gajah mada university press,2015,yogyakarta,salami indah rachmatiah siti,kesehatan
sehat masyarakat investasi manusia tuju rakyat sejahtera,trans medika,2016,yogyakarta,damailia herlina triwibowo murdiyanto tri,kesehatan
selamat dan aman pada rekam medis komputerisasi,trans info media,2009,jakarta,pinemsaroha,kesehatan
selamat dan sehat kerja konsep kembang implementasi budaya selamat,salemba medika,2013,jakarta,kusmiran eny,kesehatan
kewirausahaan untuk sehat lengkap contoh bisnis sehat,salemba empat,2009,jakarta,zimmerer thomas wscarborough norman m,kesehatan
khasiat lemon untuk stabil fakta gizi lemon dan manfaat untuk sehat,penebar swadaya,2011,jakarta,dalimartha setiawanadrian felix,kesehatan
kitab undang tentang sehat dokt,d-medika,2012,yogyakarta,tilong adi d,kesehatan
kumpul undang dan atur perintah republik indonesia khusus sehat,maxicom,2008,palembang,sadeli muhammad,kesehatan
mafia sehat,gava media,2020,jakarta,yaya heryadi,kesehatan
makan sembuh ajaib tuntun efektif kepada terapi diet,politeknik harapan bersama tegal,2020,tegal,rais s pd m komfatih deden,kesehatan
manajemen sehat,global pustaka utama,2007,yogyakarta,priyanbodo bambang,kesehatan
manajemen mutu layan sehat,politeknik harapan bersama tegal,2020,tegal,yerry febrian sabanise m komlistiana sherin,kesehatan
manajemen unit kerja rekam medi,bumi aksara,2012,jakarta,barthos basir,kesehatan
master plan sistem informasi sehat,salemba humanika,2011,jakarta,santrock john w,kesehatan
medical language for modern health car,politeknik harapan bersama tegal,2016,tegal,maulana mohamad firmannazylah nur fajriyattynurkhasanah fitrimahfud m syahrul faozan,kesehatan
pilih dan simpan sayur mayur buah dan bahan makan,politeknik harapan bersama tegal,2019,tegal,dairoh m scaditya muhammad,kesehatan
jaga sehat rumah dari bagai sakit,politeknik harapan bersama tegal,2020,tegal,imam bukhari s kom mmfajri khoerul,kesehatan
metode teliti kualitatif campur dalam sehat masyarakat,ghalia indonesia,2013,bogor,nazir mohammad,kesehatan
metodologi teliti bidang sehat edisi,andi,2007,yogyakarta,sarwono jonathanlubis hary,kesehatan
metodologi teliti ilmu awat dekat praktis edisi,rajawali pers,2013,jakarta,suryabrata sumadi,kesehatan
metodologi teliti sehat,penerbit sagung seto,2014,jakarta,imron moch,kesehatan
metodologi teliti sehat edisi revisi,bpfe,2009,yogyakarta,indriantoro nursupomo bambang,kesehatan
metodologi teliti sehat untuk mahasiswa sehat,matana publishing,2015,tangerang,sugiartohendratono tonnysudibyo djoko,kesehatan
metodologi teliti kualitatif case studi,salemba medika,2014,jakarta,nursalam,kesehatan
neuro otologi klinis vertigo,elex media komputindo,2007,jakarta,enterprise jubilee,kesehatan
nyeri konsep dan penatalaksanaan dalam praktik awat bas bukti,de teens,2014,yogyakarta,fauziyah mufidatun,kesehatan
nyeri tulang dan sendi,politeknik harapan bersama tegal,2019,tegal,taufiq abidin s pd m komperkasa andika panji,kesehatan
osteoporosis di usia muda,andi,2010,yogyakarta,syahrul,kesehatan
pandu hidup sehat bebas diabet,prestasi pustaka publiser,2007,jakarta,rizky soetam,kesehatan
pandu sehat cegah infeksi untuk fasilitas layan sehat dengan sumber daya bata,andi,2018,yogyakarta,purnamasari dyah umiyarni,kesehatan
pandu praktis sehat masyarakat teori praktek,politeknik harapan bersama tegal,2020,tegal,ahmad maulana s komsalsabila fa'iq,kesehatan
pandu untuk derita kanker prostat,pt . prima info sarana media,2007,jakarta,purbo ono w,kesehatan
pandu untuk derita leukemia,andi,2015,yogyakarta,cekdin cekmasazwardi,kesehatan
pangan gizi dan tani,salemba empat,2014,jakarta,juan ng engwahyuni ersa tri,kesehatan
patobiologi molekuler kank,dinas kearsipan dan perpustakaan kota tegal,2018,tegal,tunas eko,kesehatan
patofisiologi konsep klinis proses sakit vol edisi,maxicom,2003,palembang,pratama bagus,kesehatan
ajar model dan teori perilaku sehat konsep dan aplikasi,politeknik harapan bersama tegal,2016,tegal,khamid abdul,kesehatan
berantas dan tanggulang tuberkulosi,uns press,2016,surakarta,sulaeman endang sutisna,kesehatan
tata bantaran sungai di tinjau dari aspek lingkung,politeknik harapan bersama tegal,2018,tegal,m teguh prihandono m komsulistiani lini,kesehatan
cegah penyalahgunaan narkoba dengan program aji,politeknik harapan bersama tegal,2015,tegal,subekhi riski yunan,kesehatan
cemar dan toksikologi logam berat,politeknik harapan bersama tegal,2017,tegal,rizqi sofa,kesehatan
teliti diagnostik,mitra wacana media,2016,jakarta,dede sopiandy,kesehatan
antar administrasi sehat,politeknik harapan bersama tegal,2018,tegal,syawaliyati nurulshabrina nabila inassetiawan renom teguh prihandono m komdrs yusup christianto,kesehatan
antar ilmu sehat masyarakat,pustaka pelajar,2014,yogyakarta,nunuk dwi retnandari,kesehatan
awas serta peran aktif orangtua dan aparat dalam tanggulang narkoba,politeknik harapan bersama tegal,2016,tegal,rofiani finanursantoso ahmad,kesehatan
obat alamiah untuk pakai kacamata,politeknik harapan bersama tegal,2016,tegal,anwari farid,kesehatan
obat mutakhir nyeri pasca herp,fakultas kedokteran universitas indonesia,2010,jakarta,waspadji sarwonosuryono slametsukardji kartinikresnawan triyani,kesehatan
olah dan analisis data sehat,informatika,2017,bandung,hidayatullah priyanto,kesehatan
nilai status gizi,politeknik harapan bersama tegal,2018,tegal,aryanto seramadani herlina andriayeni priatna sari sem siakca,kesehatan
tuntun hidup sehat edisi,politeknik harapan bersama tegal,2017,tegal,eko budihartono st m kommuntoharoh,kesehatan
sakit sistem nafas dan tatalaksana terapi,arcan,1994,jakarta,rosthorn johnhalden andrewblackwell edwardwholey john,kesehatan
awat pasien sakit dalam,politeknik harapan bersama tegal,2015,tegal,aji jamaludin suta,kesehatan
awat respirasi,politeknik harapan bersama tegal,2015,tegal,saputra aris bagus,kesehatan
rencana menu untuk derita tekan darah tinggi,politeknik harapan bersama tegal,2016,tegal,sugiarto agusnovian ardhiansyah y st m mida farida se m si,kesehatan
rencana pangan dan gizi,politeknik harapan bersama tegal,2017,tegal,syarifudin s tfifian serly candram khamadi usman m eng,kesehatan
perilaku hidup bersih dan sehat phb,erlangga,2004,jakarta,watkins a j parton r k,kesehatan
perimetrik kinetik pada glaukoma,erlangga,2004,jakarta,watkins a j parton r k,kesehatan
prinsip dasar ilmu gizi,erlangga,2012,jakarta,hakim lukman,kesehatan
promosi sehat,andi,2009,yogyakarta,setiawan iwan,kesehatan
promosi sehat ilmu perilaku,andi,2006,yogyakarta,setiawan iwan,kesehatan
promosi sehat di puskesmas rumah sakit,mc graw hill,2014,usa,monk simon,kesehatan
promosi sehat teori aplikasi,mc graw hill,2012,usa,monk simon,kesehatan
prosedur manajemen rumah sakit dan teknik efisiensi,salemba medika,2011,jakarta,novita nesifranciska yunetra,kesehatan
psikologi sehat,salemba medika,2014,jakarta,mansur herawatibudiarti temu,kesehatan
regulasi sehat di indonesia,politeknik harapan bersama tegal,2020,tegal,dyah apriliani s t m komslamet wiyono s pd m engsusi nurindahsari,kesehatan
resep sehat jsr resep sehat dr zaidur akbar,politeknik harapan bersama tegal,2013,tegal,puspito achmad yuni,kesehatan
rindu,politeknik harapan bersama tegal,2016,tegal,prastiyo catur galuhnandaru nisa devimiftakhudin aminariini mentari nor,kesehatan
sains untuk paramedis fisika kimia dan biolog,politeknik harapan bersama tegal,2016,tegal,annur adfan mar'iekhusnia nillamuawiyyah widisetiawan dian imamrahmani isnalaraswati villia dwi,kesehatan
sari neurotoksikolog,politeknik harapan bersama tegal,2020,tegal,fidyantara muhammad akbar,kesehatan
seeley s anatomy physiolog,penerbit itb,2012,bandung,agoes goeswin,kesehatan
sehat murah dengan buah sayur,mcgraw-hills,2012,new york,berger arthur asa,kesehatan
sembuh tanpa mah,diandra pustaka indonesia,2013,yogyakarta,sina m yusuf,kesehatan
serat pangan dan kanker kolon,egc,2007,jakarta,brayshaw eileen,kesehatan
seri sehat bimbing dokter pada alergi,graha ilmu,2019,jakarta,samsu udayana nurdin,kesehatan
sistem gerak manusia edisi,politeknik harapan bersama tegal,2014,tegal,varizal mohammad,kesehatan
sistem informasi manajemen rumah sakit,politeknik harapan bersama tegal,2019,tegal,apriliyani dade listisena wijayanto m komm nishom m kom,kesehatan
sistem informasi pelihara rumah sakit,politeknik harapan bersama tegal,2017,tegal,ida afriliana st m komaziz luthfi alizani,kesehatan
sistem manajemen selamat kerja sehat kerja,politeknik harapan bersama tegal,2012,tegal,subekti amin,kesehatan
sistem manajemen lingkung rumah sakit,politeknik harapan bersama tegal,2021,tegal,yerry febrian sabanise m komm teguh prihandoyo m komfebry dwi firmansyah,kesehatan
smart shoping healthy liv,politeknik harapan bersama tegal,2018,tegal,zubaedi akhmadasikin muhamad bambangprasetiyo juni agungrais s pd m komqirom s pd,kesehatan
smartpunktur pijat untuk cerdas otak,politeknik harapan bersama tegal,2018,tegal,muzakir joko ajijatmiko indriyanto m kommiftakhul huda m komannam m dimas choerulsupriawan m arief,kesehatan
sosiologi sehat,elex media komputindo,2006,jakarta,sardi irawan,kesehatan
sosiologi sehat beberapa konsep serta aplikasi,politeknik harapan bersama tegal,2014,tegal,ocktiningtyas nony kresna,kesehatan
spss dalam riset layan jasa dan sehat,andi,2006,yogyakarta,mulyana edi s,kesehatan
statistik sehat,mcgraw-hill education,2015,new york,lind douglas a marchal william g samuel a wathen,kesehatan
statistik nonparametris untuk tel,erlangga,2008,jakarta,suprapto p,kesehatan
statistik untuk dokter dan sehat,alfabeta,1999,bandung,sugiyono,kesehatan
teknik efektif dalam budaya sehat selamat kerja,salemba empat,2014,jakarta,lind douglas a marchal william g wathen samuel a,kesehatan
teknologi rekayasa genetika,erlangga,1990,jakarta,amsteadostwaldphillip,kesehatan
teks atlas dokter darurat jilid,pradnya paramita,2000,jakarta,surdia tatachijiiwa kenji,kesehatan
teks atlas dokter darurat jilid,balai pustaka,2014,jakarta,wiryosumarto harsono,kesehatan
terapi diet dan nutrisi,mitra wacana media,2017,jakarta,ngusmanto,kesehatan
terapi gizi diet rumah sakit,bpfe yogyakarta,2009,yogyakarta,hartono jogiyanto,kesehatan
terapi liver diet sehat bersih liv,salemba empat,2014,jakarta,halim abdulkusufi muhammad syam,kesehatan
teratai aspek gizi potensi dan manfaat bagai pangan fungsion,salemba empat,2012,jakarta,halim abdulkusufi muhammad syam,kesehatan
the miracle of raw food singkap rahasia strategi sehat imbang dari mentor sehat korea,noura books,2014,jakarta,kang byung sang,kesehatan
tips trik obat segala sakit tuju keluarga sehat prima,banyu media,2008,yogyakarta,yuliarti nurheti,kesehatan
tips sehat lama tanpa obat,andi,2005,yogyakarta,firgiawansyah irwan,kesehatan
undang sehat,politeknik harapan bersama tegal,2019,tegal,purgiyanti s si m farm aptheru nurcahyo s farm m sc aptsuwardi rizqi akhmad,kesehatan
waspada kanker pada pria wanita,politeknik harapan bersama tegal,2012,tegal,awaludin imam,kesehatan
babad dipanegara jilid,ugm press,2000,yogyakarta,soedojo peter,textbook
babad dipanegara jilid,perpustakaan nasional republik indonesia,2018,jakarta,komariirawan yudhihernawan bambang,textbook
babad dipanegara jilid,perpustakaan nasional republik indonesia,2018,tegal,komariirawan yudhihernawan bambang,textbook
babad dipanegara jilid,perpustakaan nasional republik indonesia,2018,jakarta,komariirawan yudhihernawan bambang,textbook
cerita mahabharata di betawi pada abad ke jilid,kanisius,2010,yogyakarta,ikawati zullies,textbook
gadjah mada penggal kisah dari majapahit,politeknik harapan bersama tegal,2014,tegal,saputra okka animazain,textbook
jejak lawan sang pangeran,plotpoint,2014,jakarta,alina padma,textbook
lahir sang legenda i la galigo,politeknik harapan bersama tegal,2020,tegal,umriaty s st m kespuji tri astuti s tr keb m tr keb,textbook
meisjesspelen main anak perempuan,politeknik harapan bersama tegal,2017,tegal,riyanto agusoman somantri m kom,textbook
naskah negara atau sari kitab barencong,egc,2009,jakarta,fraser diane mcooper margaret a,textbook
serat sindula dan jaka linglung,trans info media,2011,jakarta,maryunani aniksukaryati yetty,textbook
lakon drama teg,komunitas sastrawan tegalan,2019,tegal,setiawan lanang,textbook
kartolo kartoli kumpul cerpen tegal indonesia,politeknik harapan bersama tegal,2020,tegal,kusnadi m pdaldi budi riyanta s si m tapt rizki febriyanti m farm,textbook
nglanglang jagad tegal poems antolog,andi,2012,yogyakarta,kurniawan agus,textbook
ngopeni tradisi nganyam puisi,andi,2012,yogyakarta,wahana komputer,textbook
pada bae asun,politeknik harapan bersama tegal,2018,tegal,agustianingsih wiwinfebriana astridalghozi sam'unwildani eko nugrohom kommuhammad humam m kom,textbook
wulan kemayu antologi puisi teg,politeknik harapan bersama tegal,2015,tegal,bustomy mohamad amin,textbook
langkah sederhana kuasa manipulasi foto digital dengan adobe photoshop cs,andi,2010,yogyakarta,waloeyo yohan jati,komputer
trik rahasia desainer grafis adobe photoshop cs,andi,2010,yogyakarta,westriningsih,komputer
coreldraw x exercis,andi,2011,yogyakarta,mulyanta edi sretna g,komputer
template populer blogspot,elex media komputindo,2012,jakarta,wahyudi antok gislandscript,komputer
tip trik power point,elex media komputindo,2010,jakarta,jubilee enterprise,komputer
aplikasi windows dengan visual basic enterpris,elex media komputindo,2007,jakarta,novian agung,komputer
cara hasil uang dengan blog,andi,2010,yogyakarta,ferdianto hengki,komputer
trik agar blog banjir kunjung,elex media komputindo,2012,jakarta,helianthusonfri jefferlyjava creativity,komputer
manipulasi foto wah photoshop,maxikom,2006,palembang,jayan,komputer
teknik dasar autocad d,andi,2010,yogyakarta,sugianto mikael,komputer
trik spesial untuk utak atik window,elek media komputindo,2012,jakarta,indrasto dikki,komputer
aplikasi benchmark untuk pc laptop netbook,andi,2012,new york,sulistiyani sri,komputer
desain kartu nama kreatif dengan coreldraw x,prestasi pustaka publiser,2008,jakarta,sutomo erwin,komputer
freeware pilih untuk bagai butuh,alex media,2002,jakarta,kurniawan dedik,komputer
rahasia pemrograman java,elex media komputindo,2007,jakarta,prasetyio didik dwi,komputer
jam ajar cepat arduino,bumi aksara,2019,jakarta,setiawardhana,komputer
aplikasi profesional excel,maxicom,2011,palembang,ninggar dwi,komputer
efek teks profesional photoshop cs,maxikom,2011,palembang,jayan,komputer
kreasi grafis populer dengan coreldraw x,andi,2012,yogyakarta,hernita p,komputer
trik modifikasi windows dengan visual basic,maxikom,2011,palembang,sadeli muhammad,komputer
profesional easy steps powerpoint,elex media komputindo,2011,jakarta,yoevenstian whindy,komputer
